mp_id,formula,band_gap_mp,formation_energy_per_atom_mp,energy_above_hull_mp,is_stable_mp,cbm_mp,vbm_mp,efermi_mp,has_band_edges_mp
mp-619461,WO3,1.3708,-2.183760965624999,0.007099640937500595,False,1.7324,0.3616,0.50360769,True
mp-634430,VO2,0.0,-2.1025578891666683,0.4199102874999845,False,,,2.89621206,False
mp-636148,WO3,1.3918000000000001,-2.1601918381250007,0.030668768437498883,False,1.5338,0.142,0.14934716,True
mp-636284,WO3,1.2719,-2.1828137550000006,0.008046851562498958,False,1.6052,0.3333,0.42354928,True
mp-636746,VO2,1.2022000000000002,-1.9824049875000018,0.5400631891666503,False,-0.6033,-1.8055,-1.74887103,True
mp-636827,TiO2,2.7867,-3.1994787627777783,0.3085766891666655,False,-1.1532,-3.9399,-3.85152582,True
mp-655656,TiO2,2.8373999999999997,-3.196460273611111,0.3115951783333326,False,-1.1451,-3.9825,-3.94518253,True
mp-675211,WO3,2.4793,-2.060571449464285,0.13028915709821476,False,0.4587,-2.0206,-1.92654376,True
mp-685097,HfO2,4.4148,-3.997831573333329,0.021979467500003125,False,7.8453,3.4305,3.53928926,True
mp-690346,WO3,1.4478,-2.1807203566666664,0.01014024989583362,False,1.0876,-0.3602,-0.24674742,True
mp-697,SnO2,0.5857999999999999,-2.0069290958333332,0.10055290916666682,False,7.1524,6.5666,6.64871648,True
mp-714931,VO2,1.2589,-1.9936805075,0.5287876691666522,False,-0.4979,-1.7568,-1.63272186,True
mp-714944,VO2,1.1203,-2.3421451266666673,0.18032304999998594,False,2.41,1.2897,1.33883633,True
mp-714960,VO2,0.0,-2.318890088333333,0.20357808833331958,False,,,2.91429254,False
mp-715035,VO2,0.7988,-2.422587112708335,0.09988106395831764,False,3.2532,2.4544,2.45847586,True
mp-715517,VO2,0.9538000000000002,-2.424621426458335,0.09784675020831735,False,3.3397,2.3859,2.39119039,True
mp-715553,VO2,0.0,-2.408770690000002,0.11369748666665025,False,,,3.24341345,False
mp-715923,WO3,1.1298000000000001,-2.1830396425,0.007820964062499769,False,1.5192,0.3894,0.60111847,True
mp-733506,WO3,1.4908000000000001,-2.181085689749999,0.009774916812501644,False,1.576,0.0852,0.22166201,True
mp-741,HfO2,3.3929,-3.8805282191666657,0.13928282166666506,False,8.153,4.7601,4.85894079,True
